sex,age,field,language,education,paranormal,toss.K,toss.RT,grid.K,grid.RT,guess.K,guess.RT,roll.K,roll.RT,spot.K,spot.RT,K,toss,guess,roll,spot,grid,RT
male,25.65479452,other,french,4,4,-2.062574009,13,1.821416993,16.2,1.90242921,18.1,1.851188679,21.9,2.143107142,10.1,1.131113603,101001001,4312152234,3235162453,8649137582,10011101,79.3
female,47.69041096,humanities,french,6,0,-0.590539089,33.1,0.35618483,9.1,0.424895705,22.9,1.317136408,10.2,1.414101655,13.2,0.584355902,1.10101E+11,2324312252,4365316125,5264185935,100101010,88.5
male,40.50684932,other,french,5,2,1.266754339,7.2,-0.956960541,12.1,-0.418000847,19.6,0.845940579,16,-2.081198667,14.3,-0.268693027,11110100011,3222251432,2231411653,5141223322,111100011,69.2
female,41.04109589,other,french,5,5,-0.910361982,9.1,-0.688451355,15.4,0.712326148,25,1.194754859,19.6,1.260039675,9.1,0.313661469,1.011E+11,4131553125,5246335213,8127328671,11011101,78.2
male,30.63287671,science,french,6,1,1.060495216,9.7,-3.040965737,7.2,1.890819836,11.9,0.548256206,20.2,1.268098806,8.1,0.345340865,1011101001,2431542231,4365234346,5946538246,0,57.1
female,37.84657534,other,french,6,4,0.165508595,18.2,0.20659518,27.4,1.707388405,20.1,1.034788252,17.6,0.807375508,13.7,0.784331188,1.1001E+11,3455312435,5234461436,5623414595,101001100,97
female,50.18356164,science,french,4,0,0.64551536,24.4,0.35618483,21.3,-3.065598977,36.4,1.057191836,16.5,1.645610358,9,0.127780681,11111101,5555543445,6325165363,8324913598,101010011,107.6
female,42.53972603,science,french,7,2,0.360140724,21.4,-0.956960541,20.8,1.758794611,23.6,1.100777259,16.2,-0.251444463,12.1,0.402261518,10110110001,2352143255,2325665124,5625876366,101101110,94.1
male,34.80821918,science,french,4,0,0.944802694,17.7,0.089538752,16.3,1.806800135,22.4,1.006191907,9.7,2.054701956,6.9,1.180407089,10011010011,2431543214,5246132622,8547269314,100101000,73
female,36.07671233,science,french,7,0,0.972396797,9.1,0.189437849,6.4,1.577661317,18.6,0.41530156,11,1.358468951,8.7,0.902653295,11110011100,5451321452,5235241435,6478574139,10001100,53.8
male,50.83835616,other,french,6,0,-2.438059094,48.3,0.35618483,12.3,1.712441616,23.1,2.229621948,10.6,1.645610358,16.9,0.701159932,11010101010,3242153432,2653142516,5298127385,10001110,111.2
female,43.46575342,humanities,french,4,0,-0.420979762,10.9,-0.596190895,11.4,-1.542735498,11.6,-0.397893317,9.6,0.737196425,9,-0.444120609,1.1111E+11,3311254545,5414446653,5968744335,110010001,52.5
male,34.10136986,science,french,4,0,0.517184144,6.3,1.036960055,4.6,2.063233102,9.1,0.108352274,5,0.722502223,8.1,0.88964636,10010111001,3541231425,2635141241,5296356441,1010101,33.1
female,41.49041096,science,french,4,0,-0.123515212,24.3,1.821416993,13.1,-1.543638098,18.7,1.424597284,11.1,0.905872208,12.2,0.496946635,1110000010,3441122223,2663514662,5644781238,11100001,79.4
male,44.03013699,humanities,german,7,0,-2.067811042,7.6,-0.688451355,5.3,-9.982032341,12.5,1.685730922,11.8,0.555807898,9.8,-2.099351184,100100010,1111111111,6132255146,8662517123,10100100,47
male,33.78356164,science,french,4,0,0.331697441,12.8,-1.210243675,43.7,0.623758243,14,-0.040064214,19.6,0.976623508,9.3,0.136354261,11111000111,2243211344,1622164431,5468752623,1010,99.4
male,44.03013699,humanities,english,7,0,0.588321834,9,-0.142574845,8.6,-9.982032341,5.8,-0.321094014,8.1,0.596263185,8.7,-1.852223236,1001011001,1111111111,5232421411,8695714211,1001110,40.2
male,58.00821918,science,french,6,0,0.771756741,13.9,-3.040965737,57.4,-0.148108682,16.5,-0.393115691,10.9,-0.80559046,14.3,-0.723204766,101100110,4431453444,2116533325,5561899965,111111111,113
male,28.23561644,science,french,7,0,0.841993082,15.8,1.036960055,7.7,0.063515741,15.8,-0.117999139,11,-0.074229095,13,0.350048129,10001011001,3243353243,2122535212,4562345494,1010101,63.3
male,24.41917808,humanities,french,5,2,-1.283928445,10.2,-0.596190895,17.5,1.614813441,18.8,1.743649822,12.3,1.54283163,9.5,0.604235111,1.101E+11,5314224551,6125564321,5163774295,11010100,68.3
male,31.83561644,other,french,4,2,-0.088630552,5,0.35618483,8.7,0.876071159,8.3,1.879422092,4.7,1.943169702,7.7,0.993243446,11010001101,4525143513,5234165542,5648917586,101011100,34.4
male,23.22739726,science,english,6,0,0.841993082,25,-0.596190895,15.8,-9.982032341,10.6,1.119544855,34.6,0.829434449,22.3,-1.55745017,1110100101,3333333333,1156325644,4582571699,100010011,108.3
male,42.59178082,science,french,6,0,1.701194572,16.2,1.821416993,10.3,1.190245893,13.1,0.980306217,8.9,1.557376733,10.8,1.450108082,1111001110,3513412425,5316523563,5187562498,10001101,59.3
female,30.69589041,science,french,5,5,0.771756741,9.7,0.20659518,14.1,1.925952587,18.3,1.497001774,7.4,2.054701956,7.4,1.291201648,11101000101,4132453112,1421513624,4751362985,110011010,56.9
male,40.94246575,other,french,7,0,-0.590539089,15.1,0.145914825,7.2,1.81224127,11.3,1.593141473,9.5,2.143107142,14.7,1.020773124,1.10101E+11,1352431245,4236522145,5621798354,110001101,57.8
male,49.0739726,humanities,french,4,0,1.532668597,10.7,-3.040965737,12.5,-0.640084031,13.1,0.554540198,10.5,0.835253157,9.3,-0.151717563,110110011,5435453153,4345243613,5739564765,0,56.1
female,45.91780822,other,french,6,0,0.606995879,21.3,-0.956960541,15,0.761390921,19.2,0.552966541,16.3,0.999504103,12.8,0.392779381,1011001100,1242541145,6352351413,5822396347,110101101,84.6
male,25.22191781,science,french,6,0,-0.079699721,7.4,0.145914825,7.7,0.724425771,12.5,0.921713137,6.9,1.576537088,10.4,0.65777822,110101000,2435324121,6532545615,4562368541,101001110,44.9
male,26.91780822,science,french,6,4,-0.706838925,29.4,1.036960055,34.8,1.672537094,26.3,1.131404271,28.7,0.772332011,45.5,0.781278901,1010111000,4234525143,3242156641,8247843694,110101010,164.7
male,49.89315068,science,french,4,1,-0.531916152,13.7,-0.678035429,15.2,1.393835366,14.5,0.940279299,9.4,1.893948021,10.3,0.603622221,10001101010,4353145231,5236422161,7549825136,1111110,63.1
female,NA,0,french,1,0,-4.415494561,14.3,-0.048061521,28.9,1.308672111,39.2,1.823515967,32.3,1.155618238,34.9,-0.035149953,0,1223451234,4561231364,7789657143,111,149.6
